中文,英文,例句（中英文）,分类,出处,道次第补充目录,页码/日期/题目,备注,,,
我此知识佛所赞,"These beings, these friends of mine, are praised by the Buddha","These beings, these friends of mine, are praised by the Buddha 我此知识佛所赞",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
以是善心而来此,"With such virtuous thoughts, I have come here","With such virtuous thoughts, I have come here 以是善心而来此",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
善心,virtuous thoughts,"With such virtuous thoughts, I have come here 以是善心而来此",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
救护世间如勇士,"As they save the world, they are like heroes","As they save the world, they are like heroes 救护世间如勇士",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
世间,world,"As they save the world, they are like heroes 救护世间如勇士",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
又如商主众所依,"They have become the captains, protectors, and refuge","They have become the captains, protectors, and refuge 又如商主众所依",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
商主,"captains, protectors, and refuge","They have become the captains, protectors, and refuge 又如商主众所依",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
与我安乐开慧眼,They are the eye bestowing happiness on me,They are the eye bestowing happiness on me 与我安乐开慧眼,道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
安乐,happiness,They are the eye bestowing happiness on me 与我安乐开慧眼,道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
以此善心事知识,"With thoughts like these, honor your spiritual friends","With thoughts like these, honor your spiritual friends 以此善心事知识",道次第,道前基础-正论,依止善知识为入道根本,P25,,,,
《俱舍》,Treasury of Manifest Knowledge,Treasury of Manifest Knowledge《俱舍》,道次第,道前基础-正论,说听轨则,P16,,,,
《具威猛经》,Questions of Householder Ugra Sutra,Questions of Householder Ugra Sutra《具威猛经》,道次第,道前基础-正论,说听轨则,P16,,,,
无染行法施,"Giving Dharma,free of mental afflictions,","Giving Dharma,free of mental afflictions,无染行法施",道次第,道前基础-正论,说听轨则,P16,,,,
如经而宣说,Teach according to sutra and other true texts.,Teach according to sutra and other true texts.如经而宣说,道次第,道前基础-正论,说听轨则,P16,,,,
《般若》,Mother of the Buddhas,Mother of the Buddhas《般若》,道次第,道前基础-正论,说听轨则,P17,,,,
恭敬之田,field of veneration,"Accordingly，since the Dharma is a field of veneration even for buddhas, one should bring to mind the positive qualities and kindness of the Dharma and its Teacher, and generate respect.可见，法者犹是诸佛恭敬之田。故当念法与大师之功德及恩惠，生起恭敬。",道次第,道前基础-正论,说听轨则,P17,,,,
《海慧请问经》,Sutra Requested by Sagaramati,Sutra Requested by Sagaramati《海慧请问经》,道次第,道前基础-正论,说听轨则,P17,,,,
于法生吝,reluctance to lend out texts,"The envy born from anxiety that others are superior, the laziness of putting things off, the discouragement of fatigue due to explaining things over and over again, praising oneself and chit-chatting about other people's faults, the reluctance to lend out texts, as well as concern for material things such as food and clothing should be abandoned,更须断除恐人胜己之嫉妒，及推后之懈怠，与数数宣说之疲厌、扬己之长、彰他之短、于法生吝、希求衣食财物等过。",道次第,道前基础-正论,说听轨则,P17,,,,
安乐资具,provisions of happiness,Those very merits from teaching for the sake of my own and others' enlightenment are the provisions of my happiness.为自他成佛故，以今说法所获清净福德，为我安乐资具。,道次第,道前基础-正论,说听轨则,P17,,,,
《戒经》,Sutra on the Discipline,Sutra on the Discipline《戒经》,道次第,道前基础-正论,说听轨则,P17,,,,
善根,the roots of virtue,The roots of virtue of teaching and listening in this way should be sealed by means of pure aspirational prayers such as the Prayer of Good Conduct. 于听说之诸善根，当发普贤行等净愿印定之。,道次第,道前基础-正论,说听轨则,P18,,,,
普贤行愿,the Prayer of Good Conduct,The roots of virtue of teaching and listening in this way should be sealed by means of pure aspirational prayers such as the Prayer of Good Conduct. 于听说之诸善根，当发普贤行等净愿印定之。,道次第,道前基础-正论,说听轨则,P18,,,,
遮止,be nipped in the bud,and all the ones being newly accumulated are nipped in the bud. 亦能遮止新造诸恶。,道次第,道前基础-正论,说听轨则,P18,,,,
本尊变魔,a god fallen to the rank of a demon,"no matter how much the profound and vast Dharma is explained, you will become like a god fallen to the rank of a demon, and that very Dharma will become an aid to the afflictions.则任广说何种深法，如致本尊变魔，即彼妙法亦成烦恼助伴。",道次第,道前基础-正论,说听轨则,P18,,,,
烦恼助伴,an aid to the afflictions,"no matter how much the profound and vast Dharma is explained, you will become like a god fallen to the rank of a demon, and that very Dharma will become an aid to the afflictions.则任广说何种深法，如致本尊变魔，即彼妙法亦成烦恼助伴。",道次第,道前基础-正论,说听轨则,P18,,,,
忏悔支,confession of negativities,Confession of negativities 忏悔支,道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
我昔所造诸恶业,whatever negativity I have done,Whatever negativity I have done 我昔所造诸恶业,道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
恶业,negativity,Whatever negativity I have done 我昔所造诸恶业,道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
从身语意之所生,"with my body, my speech, and likewise my mind","With my body, my speech, and likewise my mind 从身语意之所生",道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
身语意,"body, speech, mind","With my body, my speech, and likewise my mind 从身语意之所生",道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
皆由无始贪嗔痴,"overwhelmed by attachment, anger, and ignorance","Overwhelmed by attachment, anger, and ignorance 皆由无始贪嗔痴",道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
贪嗔痴,"attachment, anger, ignorance","Overwhelmed by attachment, anger, and ignorance 皆由无始贪嗔痴",道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
一切我今皆忏悔,all these I confess one by one before you,All these I confess one by one before you 一切我今皆忏悔,道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
忏悔,confess,All these I confess one by one before you 一切我今皆忏悔,道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
三毒,three poisions,"In dependence on the cause, the three poisions, and by means of the three bases, the body and so forth, their nature is that I have done them 是依三毒为因，以身等三为根事",道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
三门，根事,three bases,"In dependence on the cause, the three poisions, and by means of the three bases, the body and so forth, their nature is that I have done them 是依三毒为因，以身等三为根事",道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
随喜,rejoice,and that I rejoiced in those created by others 见作随喜,道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
追念过失,recollecting their faults,"If through recollecting their faults, you regret those done previously and sincerely confess them with a mind intending to refrain from them in the future 追念过失，生愧悔心断绝后流",道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
一切如来与菩萨,in all the merit of all the Vitors of the ten directions,In all the merit of all the Vitors of the ten directions 一切如来与菩萨,道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
十方，十方刹土,ten directions,In all the merit of all the Vitors of the ten directions 一切如来与菩萨,道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
二乘有学及无学,"the buddhas' children and the solitary realizers, the learners and no-more-learners","The buddhas' children and the solitary realizers, the learners and no-more-learners 二乘有学及无学",道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
十方一切诸众生，所有功德皆随喜,"of each and every migrating being, I rejoice","Of each and every migrating being, I rejoice 十方一切诸众生，所有功德皆随喜",道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
诸众生,each and every migrating being,"Of each and every migrating being, I rejoice 十方一切诸众生，所有功德皆随喜",道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
五类有情,five type of people,"as you recall the benefits of the virtue of these five types of people, you should cultivate joy 于五类有情所有善业皆生起随喜之心",道次第,道前基础-正论,依止善知识为入道根本,P31,,,,
